second_max,Speed_mean,net_acc_max,net_gyro_max,roll_mean,yaw_mean,pitch_mean,No_of_Years_driving_exp,driver_rating,driver_age,car_age,gender
833.1,9.280290423781384,12.705208047073821,0.5294125061234268,34.692004091593176,20.485219555976727,-5.621366271314752,19.5,3.2099998,49.0,22.8,1
894.1,8.436775832495835,12.554071446422878,0.8557559271360449,32.80929568538757,8.366544357198993,1.228471514766505,17.5,4.1099997,48.0,21.9,1
795.1,8.59262761145529,13.01479532468134,0.8144160944518701,32.78941487074762,0.5668738337276054,-0.5146495058150964,15.2,4.1400003,48.5,18.1,0
980.0,7.60901395622288,12.355854922359443,1.3343259478114462,42.426208757955344,18.765979069958213,0.5698419154980259,16.2,3.65,48.1,27.5,0
1001.3,7.054409748216338,12.839255281670537,0.6735470858310543,33.4882864520284,13.036274352958324,-0.2672055440184987,15.6,3.48,48.7,21.5,0
904.6,9.912659822431127,12.863415731394458,0.6565536616085205,74.94009961038752,25.03234543195351,-0.813884894751453,16.8,3.55,48.5,23.0,1
958.4,10.860267856027178,12.802484077745158,0.864438751434661,-1.1103442738472993,3.1067459592622315,-1.469239395141089,18.6,3.5700002,48.2,21.8,0
1106.2,9.66192756479398,13.138632230824006,0.8037842537179086,27.683896261902724,17.311054282796086,7.0353839478293025,18.1,3.6,47.9,22.7,1
675.3,10.190844763282849,13.387411730897487,2.694791830177067,64.41761841280923,15.993031097986204,-0.2177728265019284,14.2,3.48,48.3,23.8,1
1069.0,6.9945793033394255,13.225435448702006,0.6724657633418247,28.72869137854583,15.891980435479175,-1.2759630787983571,16.4,3.8400002,48.9,19.9,0
866.3,6.495004178612534,12.449972847187006,1.3471472351363711,9.519127622766856,23.47474416430982,1.1214942475084728,18.2,3.4599998,48.5,22.3,1
995.8,7.9880090522054585,12.58956024225475,0.7628329336733161,49.32632177696801,11.56847043296929,-1.2135564176174438,13.9,3.8200002,47.6,22.4,0
1015.8,9.594816946854525,12.741499393174179,0.8466974760482071,42.281105397528485,16.419434013073037,2.3725214348269903,16.1,4.0099998,49.1,23.8,1
716.6,7.848947525599042,12.654479422917937,0.9552264818361038,31.02023087849529,15.153886119631238,0.17724342665260723,18.0,3.86,48.4,22.1,1
952.8,8.93766823462646,13.762235987420528,0.9612705525562347,60.47514262435705,12.104447083715165,-0.3523612431721993,14.0,3.67,47.6,24.8,0
585.8,10.221494678230394,11.64546638652176,2.421732065230615,43.20132942660926,22.63019257562315,-0.6805760799880866,16.7,3.8700001,46.7,22.5,0
831.4,6.9633499654398445,12.75349756242241,0.9350822062833979,23.20847892223004,11.354563760997683,0.32563833391078606,16.5,3.6299999,48.9,22.7,0
828.9,8.436348163295772,13.053365515533688,2.5274647381905475,49.46406286025145,24.93264566899509,1.8408202580249413,17.5,3.31,48.9,22.5,0
700.6,7.571730858988673,12.515060477667994,0.6761183906805874,23.246562101456277,0.7367899993369686,6.07444984023133,12.3,3.3700001,48.7,22.9,1
729.6,6.01571875852458,13.365150874666242,1.1104468393495548,27.026527764435066,-0.8386314075182637,2.146731811728796,18.0,3.52,47.7,26.7,0
783.7,7.311327074280731,12.10404108449065,0.5681206343476932,71.24033005265484,21.353152320179596,0.5589775416918099,14.7,3.8200002,48.0,18.9,1
953.3,9.366359456542517,13.02281129349495,0.7693630844414396,26.987753839153747,11.70487398602634,1.1377079666837546,15.9,3.5,47.6,19.4,0
781.0,9.406676691510274,12.859717756308257,0.7223302166349759,66.05554052017347,15.590676976744358,0.03730699135615963,16.4,3.92,48.6,25.1,0
764.7,8.398642017651863,13.646943015863858,1.2464463811435016,34.01051129877387,7.647396513548256,0.21371905633796526,15.0,3.27,50.5,22.5,0
969.3,8.12086601388928,13.647118821226382,0.6947049448330563,28.193746973603318,22.49303682258437,1.0803060345636006,16.0,3.35,49.6,24.9,0
808.2,7.967609208018994,14.388917437244595,1.3975568954580564,54.06626106266724,15.524336551063602,2.0318043484544113,12.0,4.0099998,47.4,19.9,0
718.3,12.145434629412339,12.965120094393878,0.6889634971533054,31.1690968354337,5.804376687898643,0.7973488900648296,15.2,3.4099998,48.9,23.8,1
894.0,7.756546517819173,12.799030170766372,0.7430557922572347,43.149716333573075,19.9496815096704,0.030663519517412464,17.9,3.47,47.3,23.9,1
728.8,8.886613361960098,12.817690986682972,0.6891285012698114,55.067540369190894,11.911645432290953,1.339515853179191,15.4,3.5100002,48.6,22.8,1
827.8,6.696935774640733,13.019824834104849,0.9595143137995794,17.322211672954246,14.157232857856409,-0.45764416896202553,17.2,3.85,47.9,24.9,0
714.9,7.553399498052627,13.209870376165345,0.6176829712605777,49.130346154654355,15.587312715355921,-0.28722147039193835,14.8,3.69,46.8,24.8,1
1084.3,8.545340945237568,12.86807020876697,0.7363995518111137,33.0736864697505,16.06349680335709,-0.01304019196976025,19.4,3.8700001,47.3,21.9,0
1040.3,9.943550208074546,13.081207141278758,0.6871304895621465,46.70397041365128,10.367649357829965,1.2715844370350875,12.6,3.73,47.8,24.7,0
1025.3,11.17904558993179,12.806929736517892,0.841081055377145,9.18134682670627,17.338955140648167,0.9559705630306036,11.6,3.2400002,47.0,22.3,1
896.2,8.281478116861663,13.075753073493114,0.5562225496764192,20.514036442971225,22.840563145591783,1.1740730097951204,15.1,3.4599998,50.5,21.7,1
1022.2,9.515443879186025,13.42859972151551,0.7294382742903981,25.51951894225811,7.804667184510767,1.8158561446857528,15.2,3.9599998,46.5,23.6,1
1123.2,7.7165275644701765,12.37323089266442,1.1375562252888647,47.25316266529999,25.481960447188136,1.5165721991770136,13.5,3.5400002,49.1,23.1,0
928.2,8.082522034449287,13.551285171558462,1.1554298162662102,15.576886785825938,7.1653489415859895,-0.9062232362548951,12.3,3.39,46.5,22.4,1
896.8,8.73720798712868,12.582386515398696,1.007966071329531,45.320085243356615,0.4337261898244876,1.4869516441398865,17.1,3.5900002,49.3,29.0,0
1078.5,8.258799034186366,13.232567722430531,1.1681594535030766,14.617739614726611,14.477285834360156,-0.2876311291730001,15.8,3.3799999,48.2,24.0,1
977.0,7.082379438885508,12.495717494285145,0.7636025422837629,29.954903741997924,7.631203757371438,-0.4019805772208896,13.3,3.3799999,46.9,22.4,1
1023.3,8.90705570553212,13.392706359189981,0.9863104951100548,56.16964388984788,31.134022243589307,0.3320075257992867,11.4,3.4599998,47.9,22.9,0
1007.9,11.12283140366738,13.173757624995261,1.2955115958645553,43.87667479977888,16.312853719756003,-0.1418630057899454,16.1,3.64,48.6,21.4,0
885.3,7.129317703224151,12.627312717425095,0.8746591288146952,28.858889352453776,2.8527500878795244,1.2700993287981326,14.7,3.3100002,48.5,23.4,1
851.0,8.638173823845673,13.147471930980535,0.5847652629662659,29.800713876744975,32.94653092220157,0.8938430245570309,14.1,3.53,47.7,22.2,0
973.3,10.098712070490757,12.714051729354791,0.8772736066126813,29.640083718597406,19.738867164121466,-0.47179467469532294,17.5,3.4900002,48.5,24.7,1
902.8,7.939194405966951,12.482658038833817,0.7846140744160837,7.882499410128007,11.2526273491524,-0.9916533649466853,14.4,3.52,47.2,25.3,1
869.4,7.068721567505139,12.805605651865354,0.8536161009969321,12.651602649436546,0.6254377433029941,-1.1207356652016256,13.4,3.4299998,45.8,20.1,1
881.9,7.8903786895077745,13.237896405412082,0.6863210721098072,29.149448073824896,4.557500599339033,0.3028516296041829,14.7,3.81,48.9,23.9,1
1181.1,8.581739216332712,15.63820968265199,1.0445421709432128,-6.160352939034091,13.23582156013077,-1.4415846758515882,18.3,3.5099998,49.1,22.2,0
958.4,10.160356562922724,12.550862428162747,0.8722912575330695,22.486560811219825,7.014902608312184,0.8203789687746867,17.1,3.3,50.0,25.9,0
1093.0,10.02106125236661,13.476756674759178,0.8399935021051645,38.01277812984337,2.980911440012665,-6.462645032403908,17.5,3.85,47.5,28.6,1
885.6,10.35198272959986,12.765859564860959,0.5738159910230692,58.931134519884914,15.735010990327416,4.46527419271838,16.4,3.4900002,51.0,26.1,1
1131.5,10.482418233042836,12.696395964909312,0.6742148213373153,13.706532561616195,-4.722298022138519,-1.309158319824944,11.9,3.4099998,48.4,23.4,0
951.5,7.204288398209194,13.097776143034812,1.5524250580613062,31.12529749472471,9.658808996254804,0.10242414706574605,13.7,3.1200001,47.3,23.2,0
